Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Stary kod stacji;WskaŸnik;Czas uœredniania;Œrednia;Min;Maks;Liczba pomiarów;Kompletnoœæ ;Liczba Lato/Zima
2011;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocAlWisn;DsWrocWisA;PM2.5;1g;32,3;1,0;242,0;7453;85,1;1,1
2011;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocAlWisn;DsWrocWisA;PM2.5;24g;32,5;7,1;139,7;329;90,1;1,1
2011;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocNaGrob;DsWrocGrobla;PM2.5;24g;28,3;1,0;141,0;361;98,9;1,0
2011;dolnoœl¹skie;PL0202;miasto Legnica;DsLegAlRzecz;DsLegRzeczA;PM2.5;24g;29,9;5,0;159,0;357;97,8;1,0
2011;dolnoœl¹skie;PL0203;miasto Wa³brzych;DsWalbrzWyso;DsWalbWysA;PM2.5;24g;21,8;2,0;157,0;356;97,5;1,0
2011;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOsieczow21;DsOsieczow;PM2.5;24g;20,4;3,0;109,4;357;97,8;1,0
2011;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydBerling;KpBydgBerlinga;PM2.5;24g;17,4;0,9;89,1;353;96,7;1,0
2011;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;27,8;0,6;344,0;3576;40,8;0,7
2011;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;1g;32,9;0,6;343,3;3078;35,1;0,8
2011;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;24g;23,5;4,0;136,0;365;100,0;1,0
2011;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclSiels;KpWloclSielska;PM2.5;24g;19,4;6,0;67,3;291;79,7;1,1
2011;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpGrudSienki;KpGrudzStar;PM2.5;24g;19,7;6,0;90,0;82;22,5;3,8
2011;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;KpZielBoryTuch;PM2.5;24g;16,1;1,4;58,4;365;100,0;1,0
2011;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;LbLublin_Sliwins_5;PM2.5;24g;23,2;2,7;123,0;330;90,4;1,0
2011;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;LbBialaPOrzechowa;PM2.5;24g;25,7;5,0;137,0;348;95,3;1,0
2011;lubelskie;PL0602;strefa lubelska;LbChelJagiel;LbChelmJagWIOS;PM2.5;24g;21,9;2,5;139,0;358;98,1;1,0
2011;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;LbZamoscHrubieszowsk;PM2.5;24g;25,7;2,5;136,1;362;99,2;1,0
2011;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;LuGorzowWIOS_MAN;PM2.5;24g;17,3;1,8;74,4;327;89,6;1,0
2011;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;1g;28,3;0,0;263,0;8451;96,5;1,0
2011;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;24g;19,8;1,8;123,8;365;100,0;1,0
2011;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;LuWschowWIOS_AUT;PM2.5;24g;23,2;2,7;148,0;362;99,2;1,0
2011;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;1g;30,5;1,0;240,0;8594;98,1;1,0
2011;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;24g;24,8;3,3;147,0;304;83,3;0,9
2011;³ódzkie;PL1001;Aglomeracja £ódzka;LdZgieMielcz;LdZgierzWIOSAMielcza;PM2.5;1g;30,1;1,0;339,0;8557;97,7;1,0
2011;³ódzkie;PL1002;strefa ³ódzka;LdPioTrSienk;LdPiotrkWIOSMSienkie;PM2.5;24g;37,3;4,5;224,0;365;100,0;1,0
2011;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;1g;55,0;3,0;401,0;8573;97,9;1,1
2011;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;24g;54,8;6,4;317,3;355;97,3;1,1
2011;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;1g;37,8;1,0;365,0;8370;95,5;1,0
2011;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;24g;37,3;3,0;246,0;362;99,2;1,0
2011;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;1g;43,0;3,0;348,0;7271;83,0;1,0
2011;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;24g;43,2;3,1;213,6;301;82,5;1,0
2011;ma³opolskie;PL1202;miasto Tarnów;MpTarBitStud;MpTarnowWIOSBitw6304;PM2.5;24g;31,4;4,0;208,0;350;95,9;1,0
2011;ma³opolskie;PL1203;strefa ma³opolska;MpBochKonfed;MpBochniWIOSKBar0106;PM2.5;24g;22,0;4,0;83,0;61;16,7;3,1
2011;ma³opolskie;PL1203;strefa ma³opolska;MpNoSaczNadb;MpNSaczWIOSNadb6205;PM2.5;24g;39,8;4,0;157,0;340;93,2;1,2
2011;ma³opolskie;PL1203;strefa ma³opolska;MpTrzebOsZWM;MpTrzebiWIOSZWM0305;PM2.5;24g;32,5;4,0;183,0;329;90,1;1,2
2011;ma³opolskie;PL1203;strefa ma³opolska;MpZakopaSien;MpZakopaWIOSRown1701;PM2.5;24g;36,8;3,0;173,0;342;93,7;1,0
2011;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;MzWarNiepodKom;PM2.5;1g;31,6;3,8;174,5;8668;98,9;1,0
2011;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;MzWarNiepodKom;PM2.5;24g;31,5;7,9;115,5;359;98,4;1,0
2011;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;MzWarTarKondra;PM2.5;24g;28,2;4,5;133,4;352;96,4;1,0
2011;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;1g;26,4;0,1;306,5;8704;99,4;1,0
2011;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;24g;24,2;1,8;109,3;365;100,0;1,0
2011;mazowieckie;PL1402;miasto P³ock;MzPlocMiReja;MzPlockReja;PM2.5;24g;27,9;3,6;98,8;256;70,1;0,5
2011;mazowieckie;PL1403;miasto Radom;MzRadHallera;MzRadomHallera;PM2.5;24g;26,2;3,5;107,6;357;97,8;1,0
2011;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;MzPiastowPulask;PM2.5;24g;29,8;3,5;147,7;364;99,7;1,0
2011;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;OpOpole4pyl;PM2.5;24g;24,9;1,0;170,0;324;88,8;1,0
2011;opolskie;PL1602;strefa opolska;OpKKozBSmial;OpKkozle1a;PM2.5;1g;28,7;0,0;415,0;5708;65,2;1,3
2011;opolskie;PL1602;strefa opolska;OpKluczMicki;OpKlucz2pyl;PM2.5;24g;28,9;2,0;150,0;334;91,5;1,2
2011;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PkRzeszWIOSNoweMiasto;PM2.5;24g;30,0;2,8;118,9;352;96,4;1,1
2011;podkarpackie;PL1801;miasto Rzeszów;PkRzeszWIOSSzop;PkRzeszWIOSSzop;PM2.5;1g;38,7;1,0;431,0;6157;70,3;0,7
2011;podkarpackie;PL1801;miasto Rzeszów;PkRzeszWIOSSzop;PkRzeszWIOSSzop;PM2.5;24g;29,2;1,0;133,0;334;91,5;1,1
2011;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;PkJasloWIOSSikorskiego;PM2.5;1g;36,3;0,7;259,2;3682;42,0;0,8
2011;podkarpackie;PL1802;strefa podkarpacka;PkKrosKletow;PkKrosnoWIOSKletowki;PM2.5;24g;31,6;6,0;164,0;336;92,1;0,9
2011;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PkNiskoWIOSSzklar;PM2.5;24g;30,6;2,9;131,0;317;86,8;1,0
2011;podkarpackie;PL1802;strefa podkarpacka;PkPrzemyslWIOSMick;PkPrzemyslWIOSMick;PM2.5;1g;36,6;0,7;311,2;7493;85,5;1,0
2011;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWarsza;PdBialyWarszawska;PM2.5;24g;20,9;3,3;116,6;241;66,0;2,1
2011;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWaszyn;PdBialyMiejska;PM2.5;1g;27,1;0,0;309,0;7450;85,0;0,8
2011;podlaskie;PL2002;strefa podlaska;PdLomSikorsk;PdLomzaSikorskiego;PM2.5;24g;33,0;1,9;186,8;285;78,1;0,9
2011;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;Pm.a08a;PM2.5;1g;19,1;1,2;191,2;8268;94,4;1,1
2011;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPowWiel;Pm.01w.02m;PM2.5;24g;17,3;5,0;128,0;342;93,7;1,1
2011;pomorskie;PL2202;strefa pomorska;Pm.63.wDSMm;Pm.63.wDSMm;PM2.5;24g;16,2;1,0;75,0;257;70,4;1,3
2011;pomorskie;PL2202;strefa pomorska;PmSlupKniazi;Pm.63.wDSAa;PM2.5;24g;16,2;1,0;74,5;257;70,4;1,3
2011;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;1g;35,6;1,0;525,0;8287;94,6;1,0
2011;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;24g;34,2;5,0;256,0;355;97,3;1,1
2011;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;1g;33,6;0,0;335,0;8202;93,6;1,0
2011;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;24g;30,6;5,0;206,0;304;83,3;1,4
2011;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoPlebA4;SlKatowKato_aleja;PM2.5;24g;45,3;5,0;222,0;299;81,9;0,8
2011;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;33,0;5,0;196,0;325;89,0;1,2
2011;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielSterni;SlBielbBiel_stern;PM2.5;24g;33,8;5,0;195,0;350;95,9;1,1
2011;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoZana;SlCzestCzes_zana6;PM2.5;24g;37,0;5,0;269,0;329;90,1;1,0
2011;œl¹skie;PL2405;strefa œl¹ska;SlGodGliniki;SlGodowWodz_wodzi;PM2.5;24g;41,9;5,0;218,0;363;99,5;1,0
2011;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;24g;21,3;5,0;90,0;318;87,1;1,2
2011;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;1g;38,4;0,5;335,1;7931;90,5;0,9
2011;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;24g;34,9;5,2;167,3;363;99,5;1,0
2011;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkBuskRokosz;SkBuskoWios2;PM2.5;24g;29,8;3,6;121,1;320;87,7;0,9
2011;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;1g;20,8;0,0;428,0;8484;96,8;1,1
2011;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;24g;19,7;1,1;91,7;347;95,1;0,9
2011;warmiñsko-mazurskie;PL2802;miasto Elbl¹g;WmElbBazynsk;WmElblagWIOS_Bazynsk;PM2.5;24g;17,7;1,8;99,7;342;93,7;1,2
2011;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmOstrChrobr;WmOstrodWIOS_Chrobre;PM2.5;24g;18,6;0,9;103,0;299;81,9;0,9
2011;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmPuszczaBor;WmPuszcz_IOS_Borecka;PM2.5;24g;12,7;1,8;58,3;339;92,9;1,2
2011;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;1g;30,0;0,7;274,2;8496;97,0;1,0
2011;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;24g;27,5;4,7;168,5;349;95,6;1,0
2011;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;1g;33,4;0,1;344,9;8544;97,5;1,0
2011;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;24g;33,5;5,2;214,6;360;98,6;1,0
2011;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;1g;15,7;0,0;140,0;7481;85,4;1,0
2011;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;24g;15,9;1,4;93,8;355;97,3;1,0
2011;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;21,7;1,0;149,0;6724;76,8;1,5
2011;zachodniopomorskie;PL3202;miasto Koszalin;ZpKoszSpasow;ZpKoszalin006;PM2.5;24g;12,7;1,2;61,3;354;97,0;1,1
2011;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpMyslZaBram;ZpMysMysliborz007;PM2.5;24g;23,2;2,0;113,9;363;99,5;1,0
2011;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpSzczec1Maj;ZpSzcSzczecinek008;PM2.5;24g;17,7;1,5;84,3;325;89,0;1,1
2012;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocAlWisn;DsWrocWisA;PM2.5;1g;30,7;2,0;227,0;7853;89,4;1,0
2012;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocAlWisn;DsWrocWisA;PM2.5;24g;30,7;5,4;190,9;347;94,8;1,0
2012;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocNaGrob;DsWrocGrobla;PM2.5;24g;26,8;1,0;208,0;362;98,9;1,0
2012;dolnoœl¹skie;PL0202;miasto Legnica;DsLegAlRzecz;DsLegRzeczA;PM2.5;24g;25,6;5,0;188,0;318;86,9;1,0
2012;dolnoœl¹skie;PL0203;miasto Wa³brzych;DsWalbrzWyso;DsWalbWysA;PM2.5;24g;22,4;2,0;214,0;360;98,4;1,0
2012;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOsieczow21;DsOsieczow;PM2.5;24g;17,0;2,0;120,0;360;98,4;1,0
2012;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydBerling;KpBydgBerlinga;PM2.5;24g;18,6;1,6;146,6;323;88,3;1,3
2012;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydPlPozna;KpBydgPlPozn;PM2.5;1g;13,1;1,0;126,1;2809;32,0;2,2
2012;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;22,1;1,0;541,5;6065;69,0;1,3
2012;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;1g;15,8;1,0;178,5;6413;73,0;1,8
2012;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;24g;14,7;2,8;78,2;307;83,9;1,4
2012;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclSiels;KpWloclSielska;PM2.5;24g;21,7;5,2;87,3;281;76,8;1,0
2012;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpWiktorowoG;KpAirpWiktorowo;PM2.5;1g;20,3;1,2;173,8;2900;33,0;0,6
2012;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;KpZielBoryTuch;PM2.5;24g;15,5;1,9;85,6;343;93,7;1,0
2012;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;LbLublin_Sliwins_5;PM2.5;24g;22,4;3,0;201,0;340;92,9;0,9
2012;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;LbBialaPOrzechowa;PM2.5;24g;21,6;5,0;183,0;337;92,1;1,1
2012;lubelskie;PL0602;strefa lubelska;LbChelJagiel;LbChelmJagWIOS;PM2.5;24g;20,4;2,5;191,0;314;85,8;1,0
2012;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;LbZamoscHrubieszowsk;PM2.5;24g;20,9;2,5;198,7;365;99,7;1,0
2012;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;LuGorzowWIOS_MAN;PM2.5;24g;16,9;1,5;88,6;308;84,2;0,9
2012;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;1g;24,5;0,0;202,0;7936;90,3;1,1
2012;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;24g;16,9;3,3;75,0;363;99,2;1,0
2012;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;LuWschowWIOS_AUT;PM2.5;24g;20,4;1,8;125,4;350;95,6;0,9
2012;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;1g;28,9;1,0;336,0;8297;94,5;1,0
2012;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;24g;24,5;4,2;137,0;332;90,7;0,9
2012;³ódzkie;PL1001;Aglomeracja £ódzka;LdZgieMielcz;LdZgierzWIOSAMielcza;PM2.5;1g;29,7;0,0;375,0;8423;95,9;1,0
2012;³ódzkie;PL1002;strefa ³ódzka;LdPioTrSienk;LdPiotrkWIOSMSienkie;PM2.5;24g;34,0;4,9;225,0;361;98,6;1,0
2012;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;1g;46,2;3,0;417,0;7201;82,0;1,6
2012;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;24g;46,1;8,2;314,2;298;81,4;1,6
2012;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;1g;34,7;3,0;344,0;8570;97,6;1,0
2012;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;24g;41,3;6,0;306,0;365;99,7;1,0
2012;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;1g;37,6;3,0;369,0;7779;88,6;0,9
2012;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;24g;38,0;4,1;243,4;313;85,5;0,9
2012;ma³opolskie;PL1202;miasto Tarnów;MpTarBitStud;MpTarnowWIOSBitw6304;PM2.5;24g;33,8;5,0;425,0;340;92,9;1,0
2012;ma³opolskie;PL1203;strefa ma³opolska;MpBochKonfed;MpBochniWIOSKBar0106;PM2.5;24g;34,3;6,0;268,0;267;73,0;0,8
2012;ma³opolskie;PL1203;strefa ma³opolska;MpNoSaczNadb;MpNSaczWIOSNadb6205;PM2.5;24g;42,7;6,0;258,0;365;99,7;1,0
2012;ma³opolskie;PL1203;strefa ma³opolska;MpTrzebOsZWM;MpTrzebiWIOSZWM0305;PM2.5;24g;32,5;6,0;225,0;328;89,6;0,9
2012;ma³opolskie;PL1203;strefa ma³opolska;MpZakopaSien;MpZakopaWIOSRown1701;PM2.5;24g;34,5;4,0;234,0;344;94,0;1,0
2012;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;MzWarNiepodKom;PM2.5;1g;25,1;0,5;264,9;7219;82,2;1,4
2012;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;MzWarTarKondra;PM2.5;24g;25,6;3,8;204,3;341;93,2;1,1
2012;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;1g;28,7;0,5;293,9;8670;98,7;1,0
2012;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;24g;28,7;5,5;159,0;361;98,6;1,0
2012;mazowieckie;PL1402;miasto P³ock;MzPlocMiReja;MzPlockReja;PM2.5;24g;24,1;2,9;118,6;318;86,9;0,9
2012;mazowieckie;PL1403;miasto Radom;MzRadHallera;MzRadomHallera;PM2.5;24g;24,9;3,8;218,3;349;95,4;1,1
2012;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;MzPiastowPulask;PM2.5;24g;28,7;5,8;216,8;343;93,7;1,0
2012;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;MzSiedlceKonar;PM2.5;1g;29,2;0,5;522,4;8281;94,3;1,0
2012;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;OpOpole4pyl;PM2.5;24g;25,9;3,0;242,0;360;98,4;1,0
2012;opolskie;PL1602;strefa opolska;OpKKozBSmial;OpKkozle1a;PM2.5;1g;30,1;0,0;419,0;6927;78,9;1,3
2012;opolskie;PL1602;strefa opolska;OpKluczMicki;OpKlucz2pyl;PM2.5;24g;25,1;2,5;201,0;281;76,8;1,0
2012;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PkRzeszWIOSNoweMiasto;PM2.5;24g;28,4;5,8;334,0;355;97,0;1,0
2012;podkarpackie;PL1801;miasto Rzeszów;PkRzeszWIOSSzop;PkRzeszWIOSSzop;PM2.5;1g;29,0;0,0;487,0;6827;77,7;1,3
2012;podkarpackie;PL1801;miasto Rzeszów;PkRzeszWIOSSzop;PkRzeszWIOSSzop;PM2.5;24g;25,5;5,7;172,0;338;92,3;1,1
2012;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;PkJasloWIOSSikorskiego;PM2.5;1g;29,8;0,9;354,8;7308;83,2;1,2
2012;podkarpackie;PL1802;strefa podkarpacka;PkKrosKletow;PkKrosnoWIOSKletowki;PM2.5;24g;32,3;6,4;260,0;318;86,9;0,8
2012;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PkNiskoWIOSSzklar;PM2.5;24g;20,8;4,1;217,0;231;63,1;1,8
2012;podkarpackie;PL1802;strefa podkarpacka;PkPrzemyslWIOSMick;PkPrzemyslWIOSMick;PM2.5;1g;39,3;1,3;439,4;7052;80,3;1,6
2012;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWarsza;PdBialyWarszawska;PM2.5;24g;22,3;4,6;139,2;358;97,8;1,0
2012;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWaszyn;PdBialyMiejska;PM2.5;1g;24,7;0,0;430,0;8512;96,9;1,0
2012;podlaskie;PL2002;strefa podlaska;PdLomSikorsk;PdLomzaSikorskiego;PM2.5;24g;33,2;2,6;171,7;309;84,4;0,9
2012;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;Pm.a08a;PM2.5;1g;14,1;1,1;162,8;8648;98,5;1,0
2012;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPowWiel;Pm.01w.02m;PM2.5;24g;16,2;3,0;90,0;354;96,7;1,0
2012;pomorskie;PL2202;strefa pomorska;Pm.63.wDSMm;Pm.63.wDSMm;PM2.5;24g;17,3;1,0;73,0;228;62,3;0,6
2012;pomorskie;PL2202;strefa pomorska;PmKosTargo12;Pm.AM12.a;PM2.5;1g;33,7;0,1;766,0;8358;95,2;1,0
2012;pomorskie;PL2202;strefa pomorska;PmKosTargo12;Pm.AM12.a;PM2.5;24g;28,0;3,0;176,0;313;85,5;1,0
2012;pomorskie;PL2202;strefa pomorska;PmSlupKniazi;Pm.63.wDSAa;PM2.5;24g;17,3;1,0;73,0;228;62,3;0,6
2012;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;1g;36,5;0,0;576,0;8459;96,3;1,0
2012;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;24g;33,9;5,0;246,0;345;94,3;1,1
2012;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;1g;34,9;1,0;539,0;8271;94,2;1,1
2012;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;24g;34,6;5,0;330,0;364;99,5;1,0
2012;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoPlebA4;SlKatowKato_aleja;PM2.5;24g;38,8;5,0;341,0;361;98,6;1,0
2012;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;32,6;5,0;354,0;310;84,7;0,7
2012;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielSterni;SlBielbBiel_stern;PM2.5;24g;34,3;5,0;246,0;322;88,0;0,8
2012;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoZana;SlCzestCzes_zana6;PM2.5;24g;30,2;5,0;240,0;330;90,2;1,0
2012;œl¹skie;PL2405;strefa œl¹ska;SlGodGliniki;SlGodowWodz_wodzi;PM2.5;24g;39,9;5,0;207,0;354;96,7;1,0
2012;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;24g;17,9;5,0;116,0;279;76,2;1,7
2012;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;1g;29,9;0,0;541,3;8157;92,9;1,1
2012;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;24g;40,3;5,1;218,2;171;46,7;0,2
2012;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkBuskRokosz;SkBuskoWios2;PM2.5;24g;26,1;6,5;182,5;362;98,9;1,0
2012;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkPolaRuszcz;SkPolanRuszcz;PM2.5;1g;24,5;1,7;320,3;8743;99,5;1,0
2012;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkStaraZlota;SkStaracZlota2;PM2.5;24g;28,3;1,3;178,7;317;86,6;0,9
2012;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;24g;18,2;2,2;99,0;314;85,8;1,0
